vintage,building_type,size,climate,care,lca,lshp,customer_count
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,LateEve,56496
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,MrnEve,46932
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,NiteFlat,13506
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,NitePeak,4292
2040,res_unknown,allSize,hot_dry,nonCare,North,allLshp,3487
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,AllDay,27026
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,DayEve,50308
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,EarlyEve,95667
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,Flat,14808
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,FlatCool,39376
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,LateEve,47992
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,MrnEve,56618
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,NiteFlat,9256
2040,res_unknown,allSize,hot_dry,nonCare,Sierra,NitePeak,3986
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,AllDay,11174
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,DayEve,19985
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,EarlyEve,38395
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,FlatCool,21884
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,LateEve,25514
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,MrnEve,21795
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,NiteFlat+Flat,16960
2040,res_unknown,allSize,hot_dry,nonCare,Stockton,NitePeak,1853
2040,res_unknown,allSize,marine,Care,Bay,AllDay,4987
2040,res_unknown,allSize,marine,Care,Bay,DayEve,63736
2040,res_unknown,allSize,marine,Care,Bay,EarlyEve,128499
2040,res_unknown,allSize,marine,Care,Bay,Flat,11392
2040,res_unknown,allSize,marine,Care,Bay,FlatCool,54506
2040,res_unknown,allSize,marine,Care,Bay,LateEve,91367
2040,res_unknown,allSize,marine,Care,Bay,MrnEve,82230
2040,res_unknown,allSize,marine,Care,Bay,NiteFlat,1977
2040,res_unknown,allSize,marine,Care,Bay,NitePeak,14697
2040,res_unknown,allSize,marine,Care,Humboldt,DayEve,1722
2040,res_unknown,allSize,marine,Care,Humboldt,EarlyEve,5431
2040,res_unknown,allSize,marine,Care,Humboldt,Flat,1063
