vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,60_80pct,1796,0.0,9058.9,9058.9,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,80_100pct,1868,0.2014,18814.2,15636.4,15780.2
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,0_20pct,3031,1.0,6537.5,-4729.1,11266.7
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,20_40pct,3147,0.4926,6817.9,2268.8,9234.4
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,40_60pct,3284,0.1518,7194.6,6608.0,3863.4
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,60_80pct,3021,0.096,10363.7,9420.9,9824.0
2025,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,80_100pct,2995,0.0645,14765.8,14411.8,5489.0
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,0_20pct,2415,1.0,7530.8,-2059.6,9590.4
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,20_40pct,2472,0.201,6724.2,5208.2,7542.0
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,40_60pct,2486,0.0,7789.3,7789.3,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,60_80pct,2471,0.1005,10192.3,9547.5,6416.0
2025,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,80_100pct,2344,0.053,16733.7,16206.7,9947.3
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,0_20pct,1604,0.0,166.5,166.5,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,20_40pct,1540,0.0,309.3,309.3,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,40_60pct,1537,0.0,818.8,818.8,
